"slug","Title","eyebrow","headline","headline_emphasis","subtitle","bullet_1","bullet_2","bullet_3","bullet_4","valueprop_card_1_title","valueprop_card_1_body","valueprop_card_2_title","valueprop_card_2_body","valueprop_card_3_title","valueprop_card_3_body","valueprop_card_4_title","valueprop_card_4_body","pdf_filename_display","seo_title","seo_description","related_toolkit_slugs","image_alt_text","pdf_url","tier","mechanic_phrase","is_featured","is_archived","second_toolkit_name","second_toolkit_pdf_url","second_toolkit_blurb","field_note_title","field_note_blurb","field_note_url"
"contract-amendment-letter","Mid-Year Contract Amendment Letter Template","TIER 2 · MID-YEAR AMENDMENT · LETTER TEMPLATE","Five Clauses Govern Mid-Year Amendments.","Most Plan Sponsors Never Invoke Them. The Template Does.","A 2-page printable template PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three steps to a mid-year amendment letter","Five clauses that govern when and how you can amend","Paste your audit findings into the redline letter","Ninety-day notice window, used on your timeline","Know the Five Clauses","Five contract clauses govern mid-year amendments: the amendment-rights clause, the notice window, the remediation terms, the guarantee true-up, and the termination-for-cause trigger. Most plan sponsors never invoke any of them.","Build the Letter in Three Steps","The template walks three steps: document the finding, cite the governing clause, and state the requested amendment with a deadline. Paste your audit findings straight into the redline.","Use the Notice Window","The 90-day notice window is leverage when you start it, not when the PBM does. A mid-year amendment letter beats waiting for year-end, when the renewal cycle reabsorbs every open item.","This Quarter's Action Plan","Pull your audit findings, map each to its governing clause, send the amendment letter inside the notice window, and track the PBM's response against the remediation terms.","Mid-Year Contract Amendment Letter Template","Mid-Year Contract Amendment Letter Template - Free Download - Prescription Benefit Solutions","Most Plan Sponsors Never Invoke Them. The Template Does. Template PBS uses across 100s of PBM contract reviews annually. Free download.","midyear-guarantee-audit, termination-clause-audit, optimize-vs-go-to-market","Mid-year amendment letter template with five governing clauses and a redline request","[Upload week_24_thursday_contract_amendment_letter.pdf to Wix Media, paste URL]","2","mid-year amendment","FALSE","FALSE","Mid-Year Performance Guarantee Audit","[Upload week_34_thursday_midyear_guarantee_audit.pdf to Wix Media, paste URL]","The amendment letter is the action. The Mid-Year Performance Guarantee Audit is what generates the findings that fill it: the guarantees you should check at mid-year, before year-end notification makes remediation impossible.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"rfp-scoring-audit","RFP Scoring Methodology Audit","TIER 2 · PBM RFP · SCORING METHODOLOGY AUDIT","Five RFP Scoring Terms Decide the Winner.","The PBM Knows Your Methodology. The Audit Fixes It First.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes on your RFP scoring methodology","Five scoring terms that decide which PBM wins","Where the weights quietly favor the incumbent","Adjust the methodology before the RFP goes out","Audit the Scoring Weights","The first pass examines how your RFP allocates points: price, transparency, clinical programs, service, and implementation. The weights decide the winner before a single response arrives.","Find the Incumbent Advantage","Incumbent PBMs know how your methodology scores because they have seen it before. The audit surfaces where the weights quietly favor the status quo over a more transparent challenger.","Read the Five Terms","Five scoring terms decide the outcome: how price is normalized, how rebate guarantees are credited, how definitions are compared, how service is weighted, and how disruption is scored.","This Quarter's Action Plan","Run the three passes, rebalance the weights to reward transparency and auditability, and lock the methodology before the RFP goes out. The scoring sheet is the negotiation, made early.","RFP Scoring Methodology Audit","RFP Scoring Methodology Audit - Free Download - Prescription Benefit Solutions","The PBM Knows Your Methodology. The Audit Fixes It First. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","termination-clause-audit, carve-out-decision, definition-variance-audit","RFP scoring methodology audit worksheet with five scoring terms and weighting analysis","[Upload week_25_thursday_rfp_scoring_audit_worksheet.pdf to Wix Media, paste URL]","2","RFP scoring methodology","FALSE","FALSE","Termination Clause Audit Worksheet","[Upload week_35_thursday_termination_clause_audit.pdf to Wix Media, paste URL]","An RFP only has teeth if you can actually leave. The Termination Clause Audit checks the five terms that decide your exit leverage, so the new contract you sign is one you can also walk away from.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"step-therapy-override","Step Therapy Override Audit","TIER 2 · STEP THERAPY OVERRIDE · AUDIT WORKSHEET","Five Clauses Govern Step Therapy Overrides.","The Workflow Rarely Matches the Clause.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes on step therapy overrides","Five clauses that govern when an override must be granted","Where the operational workflow fails the contract","Member-impact log to document the gap","Read the Override Clauses","Five clauses govern step therapy overrides: the medical-exception standard, the turnaround requirement, the grandfathering terms, the continuity-of-care rule, and the appeal pathway. The contract promises an override process.","Test the Workflow","The promise and the practice diverge. The second pass tests whether the override workflow actually runs in the turnaround the contract requires, or whether members abandon therapy waiting.","Document Member Impact","Pull the override and abandonment data. A pattern of slow or denied overrides on clinically appropriate exceptions is both a member-harm finding and a contract-compliance finding.","This Quarter's Action Plan","Run the three passes, document where the workflow fails the clause, and require override turnaround reporting. Step therapy that can't be overridden on time is cost control doing clinical harm.","Step Therapy Override Audit","Step Therapy Override Audit - Free Download - Prescription Benefit Solutions","The Workflow Rarely Matches the Clause. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","pa-roi-audit, member-transition-audit, quarterly-reporting","Step therapy override audit worksheet with five governing clauses and a workflow test","[Upload week_26_thursday_step_therapy_override_audit.pdf to Wix Media, paste URL]","2","step therapy overrides","FALSE","FALSE","PA ROI Audit Scorecard","[Upload week_16_pa_roi_audit_scorecard.pdf to Wix Media, paste URL]","Step therapy and prior authorization are the two halves of utilization management. The PA ROI Audit Scorecard scores whether the broader PA program is adding value or just friction, on the same five-metric rubric.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"pbm-compensation","PBM Compensation Audit Worksheet","TIER 2 · PBM COMPENSATION · AUDIT WORKSHEET","Five Revenue Streams Flow from Your Plan to Your PBM.","Most Plan Sponsors Track One. The Worksheet Maps All Five.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes across five compensation mechanisms","Spread, rebate retention, admin fees, owned-pharmacy margin, manufacturer fees","The comprehensive view single-stream audits miss","One contract, five places the money moves","Map Five Revenue Streams","Your PBM earns from your plan five ways: pricing spread, retained rebates, administrative fees, margin on its owned pharmacies, and manufacturer-paid fees. Most plan sponsors track only one.","Audit Each Mechanism","Three passes walk each stream: what the contract permits, what the report discloses, and what an independent audit would find. The gaps between the three are the compensation hiding in plain sight.","See the Whole Picture","Single-mechanic audits (channel pricing, rebate, GER) each surface one stream. This worksheet is the zoom-out that totals all five into one compensation number you can take to renewal.","This Quarter's Action Plan","Run the five-stream audit, total the documented compensation, and require disclosure of every stream in the next contract. You cannot negotiate a number you have never been allowed to see.","PBM Compensation Audit Worksheet","PBM Compensation Audit Worksheet - Free Download - Prescription Benefit Solutions","Most Plan Sponsors Track One. The Worksheet Maps All Five. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","quarterly-reporting, channel-pricing, rebate-report-audit","PBM compensation audit worksheet mapping five revenue streams from plan to PBM","https://f4a10ae5-926c-402e-bec1-e9ae8845f739.usrfiles.com/ugd/f4a10a_bb76ebca1b994c0db20e64985f6a5b44.pdf","2","PBM compensation streams","FALSE","FALSE","Quarterly Reporting Checklist","[Upload week_21_quarterly_reporting_checklist.pdf to Wix Media, paste URL]","The Compensation Worksheet maps what to look for. The Quarterly Reporting Checklist audits whether the PBM is actually showing it: the 15 line items a complete report contains, and the broker request for the ones it leaves off.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"ger-audit","Generic Effective Rate Audit Worksheet","TIER 2 · GENERIC EFFECTIVE RATE · AUDIT WORKSHEET","Five GER Terms Decide Whether Your Guarantee Applies.","The PBM Controls Four. The Worksheet Checks All Five.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes on your generic effective rate guarantee","Five GER terms that decide whether the guarantee applies","Reconcile the guaranteed rate against actual performance","Where exclusions quietly shrink the guarantee","Read the Five GER Terms","Five terms decide whether your GER guarantee means anything: the generic definition, the included-claims set, the reconciliation method, the exclusion list, and the true-up timing. The PBM controls four of them.","Reconcile Guaranteed vs. Actual","Pull your generic effective rate and compare the guaranteed number to actual performance. A guarantee hit on paper while your plan overpays in practice is the GER game working as designed.","Find the Exclusions","GER guarantees are met by what they exclude. Single-source generics, specialty generics, and reclassified drugs carved out of the calculation are where the guaranteed average and your real cost diverge.","This Quarter's Action Plan","Run the three passes, reconcile guaranteed against actual, and require the exclusion list and reconciliation method in writing. A GER guarantee you cannot audit is a number, not a guarantee.","Generic Effective Rate Audit Worksheet","Generic Effective Rate Audit Worksheet - Free Download - Prescription Benefit Solutions","The PBM Controls Four. The Worksheet Checks All Five. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","channel-pricing, definition-variance-audit, pbm-compensation","Generic effective rate audit worksheet with five GER terms and a reconciliation","[Upload week_28_thursday_ger_audit_worksheet.pdf to Wix Media, paste URL]","2","generic effective rate","FALSE","FALSE","Channel Pricing Audit Worksheet","https://f4a10ae5-926c-402e-bec1-e9ae8845f739.usrfiles.com/ugd/f4a10a_23fa36ae1b824651a117a6ed99437003.pdf","GER and channel pricing are the two financial audits that surface the most spread. The Channel Pricing Audit Worksheet checks per-channel net cost, where the same reclassification game shows up across retail, mail, and specialty.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"network-configuration-audit","Pharmacy Network Configuration Audit","TIER 2 · PHARMACY NETWORK · CONFIGURATION AUDIT","Five Network Terms Set Where Members Fill.","The Routing Pattern Rarely Matches the Clause.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes on your pharmacy network design","Five terms that set where members are allowed to fill","Compare the routing pattern to the exclusion log","Where 'preferred network' becomes a funnel","Read the Five Network Terms","Five terms set your network: the preferred-pharmacy definition, the exclusion criteria, the mail-order mandate, the specialty carve-out, and the out-of-network penalty. Together they decide where members are allowed to fill.","Compare Pattern to Design","Pull where claims actually fill and compare it to the network the contract describes. A routing pattern concentrated in PBM-owned pharmacies beyond what the design requires is a steering finding.","Audit the Exclusion Log","Which pharmacies got excluded, and why? An exclusion log that quietly removes independent and competing pharmacies turns a 'preferred network' into a funnel toward the PBM's own.","This Quarter's Action Plan","Run the three passes, document the routing-versus-design gap, and require the exclusion rationale in writing. A network you did not design is a network designed for someone else's margin.","Pharmacy Network Configuration Audit","Pharmacy Network Configuration Audit - Free Download - Prescription Benefit Solutions","The Routing Pattern Rarely Matches the Clause. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","specialty-routing, channel-pricing, cob-audit","Pharmacy network configuration audit worksheet with five network terms and an exclusion log","[Upload week_29_thursday_network_configuration_audit.pdf to Wix Media, paste URL]","2","network configuration","FALSE","FALSE","Specialty Routing Audit Worksheet","[Upload week_22_thursday_specialty_routing_audit_worksheet.pdf to Wix Media, paste URL]","Network design and specialty routing are the same steering question at two scales. The Specialty Routing Audit zooms into the highest-cost slice, where the five routing clauses send your specialty scripts to the PBM's own pharmacy.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"cob-audit","Coordination of Benefits Audit Worksheet","TIER 2 · COORDINATION OF BENEFITS · AUDIT WORKSHEET","Five COB Terms Decide How a Single Claim Coordinates.","The Flag Is Rarely Audited. The Worksheet Checks It.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes on coordination of benefits","Five COB terms that decide how a claim coordinates","Where copay-program economics actually live","The COB flag most plans never check","Read the Five COB Terms","Five terms govern coordination of benefits: the primary-payer rule, the carve-out coordination, the copay-program treatment, the secondary-claim logic, and the recovery clause. Each decides how a single claim splits.","Find the Copay-Program Money","Coordination of benefits is where copay-card and accumulator economics actually live. How a claim coordinates decides whether the manufacturer's assistance benefits the member, the plan, or the PBM.","Audit the COB Flag","The COB flag on a claim is rarely audited, which is exactly why it matters. The third pass checks whether coordination is running the way the contract describes or quietly favoring the PBM's recovery.","This Quarter's Action Plan","Run the three passes, trace how a sample of coordinated claims actually split, and require COB reporting. The clause nobody audits is the clause worth auditing.","Coordination of Benefits Audit Worksheet","Coordination of Benefits Audit Worksheet - Free Download - Prescription Benefit Solutions","The Flag Is Rarely Audited. The Worksheet Checks It. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","copay-card-calculator, network-configuration-audit, pbm-disclosure-audit","Coordination of benefits audit worksheet with five COB terms and a claim-coordination trace","[Upload week_30_thursday_cob_audit_worksheet.pdf to Wix Media, paste URL]","2","coordination of benefits","FALSE","FALSE","Copay Card Financial Impact Calculator","[Upload week_20_copay_card_financial_impact_calculator.pdf to Wix Media, paste URL]","COB is where copay-program value is captured or returned. The Copay Card Financial Impact Calculator models the dollars: how much manufacturer assistance shifts to the plan, and how accumulator versus maximizer changes who keeps it.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"pbm-disclosure-audit","PBM Disclosure Audit Worksheet","TIER 2 · PBM DISCLOSURE · AUDIT WORKSHEET","Five Disclosures Your PBM Owes You Annually.","Most Plan Sponsors Receive One. The Worksheet Tracks All Five.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes on your PBM's disclosure obligations","Five disclosures the PBM owes you annually","Track what you received against what's owed","Paste-ready inquiry record for the missing disclosures","Know the Five Disclosures","Your PBM owes you five disclosures annually: direct and indirect compensation, rebate aggregation, owned-affiliate transactions, formulary-decision rationale, and conflict-of-interest reporting. Most plan sponsors receive one, if any.","Track Received vs. Owed","The worksheet tracks what you actually received against what the contract and law require. A disclosure you never got is not a missing email; it is a compliance gap with your name on it.","Build the Inquiry Record","For each missing disclosure, the worksheet generates a paste-ready inquiry. The written request creates the record, and the record is what protects the fiduciary if the disclosure never comes.","This Quarter's Action Plan","Run the three passes, document the disclosure gaps, send the inquiries, and require all five in the next contract. Disclosure you have to ask for repeatedly is disclosure designed not to happen.","PBM Disclosure Audit Worksheet","PBM Disclosure Audit Worksheet - Free Download - Prescription Benefit Solutions","Most Plan Sponsors Receive One. The Worksheet Tracks All Five. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","fiduciary-documentation, quarterly-reporting, pbm-compensation","PBM disclosure audit worksheet tracking five annual disclosures received versus owed","[Upload week_31_thursday_pbm_disclosure_audit.pdf to Wix Media, paste URL]","2","PBM disclosure obligations","FALSE","FALSE","Fiduciary Documentation Checklist","[Upload week_19_fiduciary_documentation_checklist.pdf to Wix Media, paste URL]","The disclosures you collect feed the fiduciary file. The Fiduciary Documentation Checklist organizes them into the five-category record courts evaluate, so the disclosures you chased down actually protect you.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"fiduciary-compliance-audit","Fiduciary Compliance Audit","TIER 2 · ERISA FIDUCIARY · COMPLIANCE AUDIT","ERISA's Five Words Define Your Personal Exposure.","The Documentation Is What Survives the Audit.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes against the ERISA prudence standard","How the five-word duty maps to pharmacy-benefit decisions","The decision log that documents prudent process","The co-fiduciary defense for the committee","Apply the ERISA Standard","ERISA's duty turns on a few words: acting prudently, solely in the interest of participants. The audit maps that standard onto the pharmacy-benefit decisions your committee actually makes.","Build the Decision Log","Prudence is proven by process, not outcome. The audit builds the decision log that shows how each material pharmacy-benefit choice was made, on what information, and with what advice.","Document the Co-Fiduciary Defense","Personal exposure is real. The third pass documents the co-fiduciary defense: the records that protect the individuals on the committee when the process is later questioned.","This Quarter's Action Plan","Run the three passes, build the decision log, and close the documentation gaps. The pharmacy benefit is a fiduciary act whether the committee treats it as one or not.","Fiduciary Compliance Audit","Fiduciary Compliance Audit - Free Download - Prescription Benefit Solutions","The Documentation Is What Survives the Audit. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","fiduciary-documentation, pbm-disclosure-audit, pre-meeting-renewal-checklist","Fiduciary compliance audit worksheet applying the ERISA prudence standard with a decision log","[Upload week_32_thursday_fiduciary_compliance_audit.pdf to Wix Media, paste URL]","2","fiduciary compliance","FALSE","FALSE","Fiduciary Documentation Checklist","[Upload week_19_fiduciary_documentation_checklist.pdf to Wix Media, paste URL]","The Compliance Audit applies the standard; the Documentation Checklist builds the file it relies on. Run together, they cover both halves: the process you follow and the records that prove you followed it.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"member-transition-audit","Member Transition Audit","TIER 2 · MEMBER TRANSITION · AUDIT WORKSHEET","Five Clauses Protect Members During Transitions.","Most Plan Sponsors Assume They Execute. They Don't.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes on member-transition protection","Five clauses that protect members during a PBM change","Transition-event log to test the assumption","Where continuity-of-care quietly fails","Read the Five Protections","Five clauses protect members through a transition: continuity-of-care, prior-auth honoring, refill-too-soon override, formulary grandfathering, and member-communication timing. Plan sponsors assume they execute automatically.","Test the Assumption","They often don't. The second pass builds a transition-event log and checks whether each protection actually fired during the last PBM change or open enrollment, or whether members fell through.","Document the Gaps","A member who couldn't refill a maintenance drug during a transition is a contract-execution failure and a member-harm event. The audit documents both, with the clause each gap violated.","This Quarter's Action Plan","Run the three passes, log the transition events, and require the PBM to report transition-protection execution. Continuity of care that lives only in the contract is not continuity of care.","Member Transition Audit","Member Transition Audit - Free Download - Prescription Benefit Solutions","Most Plan Sponsors Assume They Execute. They Don't. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","termination-clause-audit, step-therapy-override, h1-renewal-readiness","Member transition audit worksheet with five protective clauses and a transition-event log","[Upload week_33_thursday_member_transition_audit.pdf to Wix Media, paste URL]","2","member transition protection","FALSE","FALSE","Termination Clause Audit Worksheet","[Upload week_35_thursday_termination_clause_audit.pdf to Wix Media, paste URL]","Member transitions happen when you leave a PBM, which is governed by the termination clause. The Termination Clause Audit checks whether you can exit cleanly, so the transition protections you audited here actually have time to work.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"midyear-guarantee-audit","Mid-Year Performance Guarantee Audit","TIER 2 · PERFORMANCE GUARANTEES · MID-YEAR AUDIT","Five Guarantees You Should Audit at Mid-Year.","Year-End Notification Comes Too Late.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes on your performance guarantees","Five guarantees to check at the mid-year mark","Mid-year notification beats year-end remediation","Where a guarantee is met on paper but missed in practice","Check Five Guarantees","Five performance guarantees are worth a mid-year check: pricing, rebate, service-level, clinical-program, and reporting guarantees. Each has a measurable mid-year read if you pull the data.","Audit at Mid-Year","The PBM notifies you of a missed guarantee at year-end, when the remediation window is closing. A mid-year audit gives you months to invoke the remediation terms instead of weeks.","Separate Paper from Practice","A guarantee met on the PBM's summary while your plan's actual experience misses it is the most common finding. The audit reconciles the reported number against your real data.","This Quarter's Action Plan","Run the three passes at mid-year, document any guarantee tracking behind target, and send the amendment letter inside the notice window. Year-end is too late to do anything but accept the credit they offer.","Mid-Year Performance Guarantee Audit","Mid-Year Performance Guarantee Audit - Free Download - Prescription Benefit Solutions","Year-End Notification Comes Too Late. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","contract-amendment-letter, h1-renewal-readiness, ger-audit","Mid-year performance guarantee audit worksheet checking five guarantees against actual data","[Upload week_34_thursday_midyear_guarantee_audit.pdf to Wix Media, paste URL]","2","mid-year guarantee tracking","FALSE","FALSE","Mid-Year Contract Amendment Letter Template","[Upload week_24_thursday_contract_amendment_letter.pdf to Wix Media, paste URL]","The Guarantee Audit generates the finding; the Amendment Letter Template acts on it. Paste a tracking-behind-target guarantee into the redline letter and invoke the remediation terms while the notice window is still open.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"termination-clause-audit","Termination Clause Audit","TIER 2 · TERMINATION CLAUSE · AUDIT WORKSHEET","Five Termination Terms Decide Your Leverage.","Most Plans Are Locked In Without Knowing It.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes on your termination clause","Five terms that decide whether you can leave clean","Data ownership, runout pricing, and notice windows","Build the exit timeline before you need it","Read the Five Terms","Five terms decide your exit leverage: the notice window, the termination-for-cause triggers, the claims-data ownership, the runout-claim pricing, and the transition-assistance obligation. Most plans never read them until they want out.","Find the Lock-In","Auto-renewal plus a long notice window plus PBM-owned claims data equals a plan locked in without knowing it. The audit surfaces the lock-in while you still have time to renegotiate it.","Price the Exit","Runout claims priced at the PBM's discretion can make leaving expensive enough to deter it. The third pass prices the exit, so 'you're free to leave' is tested against what leaving actually costs.","This Quarter's Action Plan","Run the three passes, document the lock-in terms, and renegotiate data ownership and runout pricing at renewal. Leverage you can only use at exit has to be written in long before you exit.","Termination Clause Audit","Termination Clause Audit - Free Download - Prescription Benefit Solutions","Most Plans Are Locked In Without Knowing It. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","member-transition-audit, rfp-scoring-audit, definition-variance-audit","Termination clause audit worksheet with five exit terms and an exit-cost timeline","[Upload week_35_thursday_termination_clause_audit.pdf to Wix Media, paste URL]","2","termination leverage","FALSE","FALSE","Member Transition Audit","[Upload week_33_thursday_member_transition_audit.pdf to Wix Media, paste URL]","Clean exit and clean transition are two sides of the same move. The Member Transition Audit checks whether the continuity-of-care protections execute when you leave, so the exit leverage you secured here doesn't harm members on the way out.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"definition-variance-audit","Definition Variance Audit","TIER 2 · CONTRACT DEFINITIONS · VARIANCE AUDIT","Same Words. Different Meanings.","Across Renewal Cycles, the Definitions Quietly Shrink.","A 2-page printable worksheet PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Three audit passes across your contract's definitions","Compare definitions across past contract versions","Where 'generic,' 'brand,' and 'specialty' quietly drifted","The silent drift that shrinks every guarantee","Pull Past Versions","The first pass gathers your current and prior contract versions. Definition drift is invisible in any single contract; it only shows up when you line up 'generic,' 'brand,' 'specialty,' and 'rebate' across versions.","Track the Drift","Across renewal cycles the definitions quietly shrink. A drug reclassified from 'generic' to 'specialty' moves it into the bucket with the weakest guarantee, with no change to the headline discount.","Connect Definitions to Dollars","Every guarantee is only as strong as the definition under it. The third pass connects each drifted definition to the guarantee it weakens, so the cost of a wording change becomes visible.","This Quarter's Action Plan","Run the three passes, document every definition that drifted, and lock the definitions at renewal. The most expensive edits to a PBM contract are the ones to the words, not the numbers.","Definition Variance Audit","Definition Variance Audit - Free Download - Prescription Benefit Solutions","Across Renewal Cycles, the Definitions Quietly Shrink. Worksheet PBS uses across 100s of PBM contract reviews annually. Free download.","ger-audit, termination-clause-audit, quarterly-reporting","Definition variance audit worksheet comparing contract definitions across renewal versions","[Upload week_36_thursday_definition_variance_audit.pdf to Wix Media, paste URL]","2","definition drift","FALSE","FALSE","Generic Effective Rate Audit Worksheet","[Upload week_28_thursday_ger_audit_worksheet.pdf to Wix Media, paste URL]","Definition drift and the GER guarantee are directly linked: the generic definition decides which claims the guarantee even covers. The GER Audit Worksheet reconciles the guaranteed rate against actual performance once you've caught the definition shrinking.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
"pre-meeting-renewal-checklist","First Renewal Meeting Pre-Meeting Checklist","TIER 2 · FIRST RENEWAL MEETING · PRE-MEETING CHECKLIST","Five Items to Bring to the First PBM Renewal Meeting.","The First Meeting Sets the Frame.","A 2-page printable checklist PBS uses across 100s of PBM contract reviews annually. Free download. Sent to your inbox.","Five documents to bring to the first renewal meeting","One internal priority list, agreed before you walk in","One counter-narrative to the PBM's proposal","Set the frame before the PBM does","Bring Five Documents","Five documents change the first renewal meeting: your independent claims analysis, your audit findings, your priority list, your benchmark data, and your draft term sheet. Walk in with all five or react to the PBM's.","Agree the Priorities First","The internal priority list, agreed across HR, finance, and the broker before the meeting, prevents the PBM from dividing the room. One voice, one set of priorities, decided in advance.","Bring the Counter-Narrative","The PBM arrives with a proposal and a story. The checklist makes sure you arrive with your own: the documented findings that reframe the conversation from their renewal to your terms.","This Quarter's Action Plan","Assemble the five documents, hold the internal alignment meeting, and pre-circulate the counter-narrative to your committee. The first meeting sets the frame for every meeting after it.","First Renewal Meeting Pre-Meeting Checklist","First Renewal Meeting Pre-Meeting Checklist - Free Download - Prescription Benefit Solutions","The First Meeting Sets the Frame. Checklist PBS uses across 100s of PBM contract reviews annually. Free download.","h1-renewal-readiness, pbr-framework, midyear-claims-red-flag","First renewal meeting pre-meeting checklist with five documents and a counter-narrative","[Upload week_37_thursday_pre_meeting_renewal_checklist.pdf to Wix Media, paste URL]","2","renewal meeting prep","FALSE","FALSE","H1 Renewal Readiness Scorecard","[Upload week_24_h1_renewal_readiness_scorecard.pdf to Wix Media, paste URL]","The Pre-Meeting Checklist gets you into the room prepared; the H1 Renewal Readiness Scorecard is what fills the folder. Score your leverage on the five metrics the PBM models, then bring that score as your counter-narrative.","The PBM Contract Language Library","Free and evergreen: the protective PBM contract language behind this audit, with the exact redlines to ask your PBM for. Drawn from the patterns we see across hundreds of contract reviews a year.","https://benefitblindspots.substack.com/p/pbm-contract-language-library"
